pname,playtime
9to,4717707
growler,4713986
Bart,4706944
harshax,4703931
myuzinn,4701608
ebering,4686856
dilly,4682440
Oki,4671264
Xom,4666500
OdinFK,4663421
CaptBlasto,4645981
richr,4643015
jboons,4634169
Disco,4626250
TGW,4624645
damdam,4624269
IonFrigate,4622822
cada,4622526
Daunt,4620122
zackoid,4619322
tijit,4618731
Paroid,4606136
indyram44,4593987
xzanthius,4589693
Guenter,4587237
zugundertherug,4583856
Bromus,4583145
Malchor,4570630
kilrfish,4569659
mibe,4568212
herpmino,4556093
Piginabag,4543721
Shane,4539118
4tharraofdagon,4538435
Dowan,4532113
ostrichegg,4522680
alcopop,4521847
rogsnak,4513227
qtip,4511742
Nib,4508547
tomatochips,4507266
bluepin,4502699
doubtofbuddha,4500124
Rassilon,4495145
thattroll,4493094
flinch,4490186
joy1999,4473337
zhorgal,4470540
Bacchus,4453064
viperous,4443834
filthy,4443330
Catclaw,4441357
shamaniam,4429001
ihlosi,4423952
Gressup,4417281
casmith789,4414515
itsmu,4413606
Solvent,4410060
newman03,4392781
Oravi,4386105
jasper,4381995
mazerunner,4381497
Atlas,4380033
Georgie,4379631
Redball22,4379476
BlackCaro,4377575
loom,4359736
sokol815,4358211
starseed13,4355955
Tickenest,4350829
Gandelf,4342203
Astinus,4335774
Ekaitz,4331134
Thaneod,4329130
xeno23,4327005
paplaukes,4321917
Playings,4316710
Konstantin,4312282
sprint,4307439
tensugalgo,4304451
snackwell,4300982
Turgor,4294845
Cheops,4294197
Jaeger,4293328
Skryme,4280357
yogidabear,4279304
BackslashEcho,4278162
osklington,4277920
Eugor,4276513
Daemmerung,4275692
Kaput,4267763
jtro,4263651
Nattefrost,4261661
Manslay,4256043
MaseCarrigan,4252596
salmon,4239706
lis82,4238664
Fandango,4238609
braks,4232840
Likado,4231939
dickylongcocking,4220787
MollyMolluskus,4214825
Ketziah,4212614
hackum,4201668
mellllon,4196394
jtang582,4194485
Clockwork,4193867
capslocke,4191955
aori,4191484
lkid,4190245
tgcid9999,4189093
PolkaDot,4185314
AnAngryHobo,4184159
raistware,4182981
Protee,4181621
GoodDemon3,4180773
Zeldest,4176343
Thalamas,4173572
moohaus,4173016
kroki,4167178
Beargit,4165926
Snicker,4151721
simonj,4149372
Agrougrou,4148311
undersol,4143742
theMacoje,4142683
heinrich,4142329
Nybble,4142070
goetter,4141243
TheAlmightyOne,4139649
simul,4134076
VolteccerJack,4133493
brainstorm,4133053
Jefus,4131988
fourba,4123705
jike,4117279
Skeff,4106761
Odds,4106310
drj,4101773
spelunker,4099435
Mibe,4095217
Iskender,4090724
buffalo66,4086680
wiznift,4085142
dlk,4083389
packetloss,4081001
katc12,4076477
w00t,4075828
sportzer,4075427
atomicknyte,4075175
playitleo,4073294
icedessert,4073033
DarkMoon,4071945
jumbajumba,4071324
tmoiynmwg,4070848
bobnalice,4069082
Inarius,4063445
Vesto,4063216
Zwobot,4054530
ooparts,4052267
DankestMemes,4051504
Viilla,4050567
kalirush,4040590
removed,4040098
felt,4038896
Nikinyo,4034350
SkaryMonk,4029852
thrig,4021184
takealooook,4016640
erisdiscordia,4010862
Splatt,4009123
Fooot,4000023
Sealer,3996988
Gunterle,3996266
fritzmikael,3992940
CatfishMan,3982841
DenpaOtoko,3980520
hexaflexagon,3977017
edwinsage,3974681
Celsitudo,3971504
toffzen,3967614
Lichemaster,3965780
VictoriousLee,3964152
lepoulpe303,3962330
Charan,3961117
soeti,3958955
